"","city","city_ascii","lat","lng","pop","country","iso2","iso3","province"
"1","Greenock","Greenock",55.93329002,-4.750030763,59065,"United Kingdom","GB","GBR","Inverclyde"
"2","Sunderland","Sunderland",54.92001853,-1.380029746,315449.5,"United Kingdom","GB","GBR","Tyne and Wear"
"3","Southampton","Southampton",50.90003135,-1.399976849,384417,"United Kingdom","GB","GBR","Southampton"
"4","Bristol","Bristol",51.44999778,-2.583315472,492120.5,"United Kingdom","GB","GBR","Bristol"
"5","Bournemouth","Bournemouth",50.72999005,-1.900049684,295272.5,"United Kingdom","GB","GBR","Bournemouth"
"6","Omagh","Omagh",54.60001223,-7.300004315,18691,"United Kingdom","GB","GBR","Omagh"
"7","Chester","Chester",53.20002016,-2.919987428,83285.5,"United Kingdom","GB","GBR","Cheshire"
"8","Swansea","Swansea",51.6299868,-3.950002077,232611,"United Kingdom","GB","GBR","Swansea"
"9","Carlisle","Carlisle",54.87999514,-2.929986818,69270,"United Kingdom","GB","GBR","Cumbria"
"10","Southend-on-Sea","Southend",51.55001752,0.71999711,395993,"United Kingdom","GB","GBR","Southend-on-Sea"
"11","Reading","Reading",51.46997072,-0.980028322,257752,"United Kingdom","GB","GBR","Oxfordshire"
"12","Leicester","Leicester",52.62997744,-1.133248943,398611,"United Kingdom","GB","GBR","Leicester"
"13","Bradford","Bradford",53.80003522,-1.749981325,397708.5,"United Kingdom","GB","GBR","West Yorkshire"
"14","Sheffield","Sheffield",53.36667666,-1.499996583,922800,"United Kingdom","GB","GBR","South Yorkshire"
"15","Fort William","Fort William",56.81647795,-5.112075806,9652,"United Kingdom","GB","GBR","Highland"
"16","Ayr","Ayr",55.4503996,-4.61667973,57277.5,"United Kingdom","GB","GBR","South Ayrshire"
"17","Aberdeen","Aberdeen",57.17039797,-2.079987021,186577,"United Kingdom","GB","GBR","Aberdeen"
"18","Perth","Perth",56.40034161,-3.469979697,39654,"United Kingdom","GB","GBR","Perthshire and Kinross"
"19","Dundee","Dundee",56.47038902,-3.000008384,151013.5,"United Kingdom","GB","GBR","Dundee"
"20","Middlesbrough","Middlesbrough",54.58037518,-1.230013063,279374.5,"United Kingdom","GB","GBR","Stockton-on-Tees"
"21","Coventry","Coventry",52.42040367,-1.499996583,348292,"United Kingdom","GB","GBR","West Midlands"
"22","Bath","Bath",51.3837486,-2.350022218,92679,"United Kingdom","GB","GBR","Bath and North East Somerset"
"23","Exeter","Exeter",50.70040529,-3.529950197,108242,"United Kingdom","GB","GBR","Devon"
"24","Cambridge","Cambridge",52.20039125,0.116623086,128488,"United Kingdom","GB","GBR","Cambridgeshire"
"25","Kingston upon Hull","Kingston upon Hull",53.75042584,-0.32999048,297398.5,"United Kingdom","GB","GBR","Kingston upon Hull"
"26","Londonderry","Londonderry",55.00037539,-7.333283937,82635,"United Kingdom","GB","GBR","Derry"
"27","Lisburn","Lisburn",54.52037884,-6.670016929,12899,"United Kingdom","GB","GBR","Dungannon"
"28","Penzance","Penzance",50.13372154,-5.550033611,18150.5,"United Kingdom","GB","GBR","Cornwall"
"29","York","York",53.97038658,-1.080022218,151574.5,"United Kingdom","GB","GBR","York"
"30","Blackpool","Blackpool",53.83039512,-3.050005332,207946.5,"United Kingdom","GB","GBR","Lancashire"
"31","Dumfries","Dumfries",55.06708966,-3.550000652,31044,"United Kingdom","GB","GBR","Dumfries and Galloway"
"32","Scarborough","Scarborough",54.28039349,-0.429984376,70571,"United Kingdom","GB","GBR","North Yorkshire"
"33","Plymouth","Plymouth",50.38538576,-4.159989259,239436,"United Kingdom","GB","GBR","Plymouth"
"34","Ipswich","Ipswich",52.07034751,1.169995482,139012,"United Kingdom","GB","GBR","Suffolk"
"35","Norwich","Norwich",52.63036501,1.300013386,184196,"United Kingdom","GB","GBR","Norfolk"
"36","Brighton","Brighton",50.83034568,-0.169974407,321004.5,"United Kingdom","GB","GBR","Brighton and Hove"
"37","Kirkwall","Kirkwall",58.96698081,-2.950011435,5826.5,"United Kingdom","GB","GBR","Moray"
"38","Inverness","Inverness",57.46712404,-4.23326644,42956.5,"United Kingdom","GB","GBR","Highland"
"39","Oxford","Oxford",51.7704175,-1.249986004,173681,"United Kingdom","GB","GBR","Oxfordshire"
"40","Luton","Luton",51.88035911,-0.420010825,214813.5,"United Kingdom","GB","GBR","Luton"
"41","Portsmouth","Portsmouth",50.80034751,-1.080022218,323676,"United Kingdom","GB","GBR","Portsmouth"
"42","Peterborough","Peterborough",52.58041974,-0.249995363,140141,"United Kingdom","GB","GBR","Peterborough"
"43","Nottingham","Nottingham",52.97034426,-1.170016725,565650,"United Kingdom","GB","GBR","Nottingham"
"44","Stoke","Stoke",53.00036826,-2.180006756,325610,"United Kingdom","GB","GBR","Stoke-on-Trent"
"45","Dover","Dover",51.13371218,1.300013386,32270,"United Kingdom","GB","GBR","Kent"
"46","Edinburgh","Edinburgh",55.94832786,-3.219090618,470378.5,"United Kingdom","GB","GBR","Edinburgh"
"47","Newcastle","Newcastle",55.00037539,-1.59999048,537191,"United Kingdom","GB","GBR","Tyne and Wear"
"48","Liverpool","Liverpool",53.41600181,-2.917997886,639972.5,"United Kingdom","GB","GBR","Merseyside"
"49","Cardiff","Cardiff",51.49999473,-3.22500757,603750,"United Kingdom","GB","GBR","Cardiff"
"50","Wick","Wick",58.43329246,-3.083362469,7147,"United Kingdom","GB","GBR","Highland"
"51","Leeds","Leeds",53.83000755,-1.580017539,992061.5,"United Kingdom","GB","GBR","West Yorkshire"
"52","Lerwick","Lerwick",60.15003522,-1.149992108,5604,"United Kingdom","GB","GBR","Aberdeen"
"53","Manchester","Manchester",53.50041526,-2.247987103,1312757.5,"United Kingdom","GB","GBR","Manchester"
"54","Birmingham","Birmingham",52.47497398,-1.919996787,1634666.5,"United Kingdom","GB","GBR","West Midlands"
"55","Belfast","Belfast",54.60001223,-5.960034425,362588,"United Kingdom","GB","GBR","Belfast"
"56","Glasgow","Glasgow",55.87440472,-4.250707236,885134,"United Kingdom","GB","GBR","Glasgow"
"57","London","London",51.49999473,-0.116721844,7994104.5,"United Kingdom","GB","GBR","Westminster"
